Name	R.A. J2000	Decl. J2000	S/N	V_proj	DeltaV_proj	r Value	Template	Range	V_H I,proj	DeltaV_H I,proj	HST Image	FWHM	FWHM PSF	Object	
	(deg)	(deg)		(km s^-1)	(km s^-1)			(Aring)	(km s^-1)	(km s^-1)		(")	(")	Type	
															
GLL J121851+471400	184.7166	47.2335	28	324.0	72.6	4.92	fglotemp	4400-7100	378.5	14.9	hst_11570_97_acs_wfc_f555w	0.160	0.100	GC	
GLL J121852+472201	184.7205	47.3672	11	779.4	82.3	2.58	fglotemp	4100-7198	573.4	36.8	hst_11570_86_acs_wfc_f555w	0.130	0.105	GC	
GLL J121854+472318	184.7266	47.3885	31	496.9	57.4	5.35	fglotemp	4100-7198	555.1	23.1	hst_11570_91_acs_wfc_f555w	0.195	0.100	GC	
GLL J121856+471411	184.7345	47.2366	12	315.9	51.7	3.67	fs2temp	4000-7198	364.0	21.1	hst_11570_97_acs_wfc_f555w	0.165	0.105	GC	
GLL J121857+472330	184.7384	47.3918	23	338.7	48.3	8.78	fglotemp	4100-7198	528.2	8.7	hst_11570_91_acs_wfc_f555w	0.155	0.105	GC	
GLL J121859+472107	184.7500	47.3520	52	662.2	69.6	6.00	fglotemp	3720-7100	514.3	25.8	hst_11570_86_acs_wfc_f555w	0.150	0.100	GC	
J121901+471859^a	184.7553	47.3166	9	577.3	49.4	4.31	fs2temp	4000-7000	449.5	44.3	hst_11570_88_acs_wfc_f555w	0.105	0.100	GC	
GLL J121901+471905	184.7565	47.3183	15	260.1	68.7	3.71	fglotemp	4100-7000	448.4	43.8	hst_11570_88_acs_wfc_f555w	0.155	0.095	GC	
GLL J121902+472048	184.7585	47.3469	33	383.8	52.4	5.44	fglotemp	4000-6950	488.6	22.9	hst_11570_86_acs_wfc_f555w	0.175	0.095	GC	
GLL J121902+472125	184.7622	47.3572	23	608.3	23.6	9.82	fglotemp	4000-6850	488.8	11.8	hst_11570_99_acs_wfc_f555w	0.125	0.090	GC	
GLL J121902+472043	184.7624	47.3453	35	625.8	31.4	7.78	fglotemp	4000-6850	477.0	9.0	hst_11570_88_acs_wfc_f555w	0.155	0.100	GC	
GLL J121908+471355	184.7847	47.2322	27	257.9	47.5	5.86	fglotemp	4000-7400	322.2	31.3	hst_11570_96_acs_wfc_f555w	0.140	0.100	GC	
GLL J121925+471228	184.8578	47.2079	36	282.0	39.0	7.03	fglotemp	4200-7198	289.0	14.2	hst_11570_94_acs_wfc_f555w	0.165	0.100	GC	
GLL J121928+471152^b	184.8685	47.1978	17	505.5	72.8	4.19	fglotemp	4300-7198	290.8	14.2	hst_11570_94_acs_wfc_f555w	0.200	0.100	GC	
GLL J121929+471215	184.8711	47.2042	54	219.5	17.1	14.02	fglotemp	4250-7198	298.9	16.3	hst_11570_94_acs_wfc_f555w	0.150	0.100	GC	
GLL J121934+471316	184.8944	47.2212	21	401.2	66.6	4.03	fglotemp	3720-7198	344.7	6.0	hst_10399_50_acs_wfc_f606w	0.170	0.080	GC
